"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1980-05","238.8"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1980-06","275.3"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1980-07","123.7"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1980-08","47.8"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1980-09","66.6"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1980-10","163.7"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1980-11","133.7"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1981-01","17.0"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1981-06","456.4"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1981-12","44.9"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1982-06","654.8"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1983-06","480.4"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1986-10","417.8"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1987-07","135.6"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1988-06","628.4"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1990-06","437.3"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1997-11","200.4"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1998-09","44.0"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","1998-11","150.6"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","2006-06","225.0"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","2012-06","288.3"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","2014-06","213.1"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","2014-09","58.1"
"IV000065585","ADIAKE, IV","5.3","-3.3","39.0","2015-06","520.8"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1980-05","490.4"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1980-06","440.1"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1980-07","157.5"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1980-08","105.0"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1980-09","337.1"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1980-10","106.4"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1980-11","327.3"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1980-12","45.0"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1981-02","12.9"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1981-03","125.4"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1981-05","267.0"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1981-06","694.5"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1981-11","139.8"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1981-12","85.0"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1982-05","712.5"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1982-06","283.5"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1982-09","71.3"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1982-10","170.5"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1982-11","80.4"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1983-05","1028.6"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1983-06","239.3"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1985-08","456.2"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1985-11","249.1"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1987-06","691.6"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1989-08","243.2"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1989-09","92.8"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1990-06","756.6"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1991-06","320.8"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1992-05","563.1"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1993-05","352.4"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1996-08","165.5"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1997-11","119.5"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1998-07","222.8"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","1998-09","222.5"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","2007-06","523.3"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","2009-08","132.6"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","2013-09","152.3"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","2014-06","372.6"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","2014-10","250.0"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","2015-06","408.6"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","2015-11","155.0"
"IV000005592","TABOU, IV","4.42","-7.37","4.0","2016-10","246.4"
