NAME,n
"BAU BAU BETO AMBIRI, ID",32
"BINTULU, MY",217
"BRUNEI INTERNATIONAL, BX",12
"BUBUNG, ID",24
"FAK FAK TOREA, ID",24
"H AS HANANDJOEDDIN, ID",24
"ISKANDAR, ID",16
"JALALUDDIN, ID",17
"JAPURA, ID",120
"JAYAPURA DOK II, ID",15
"JUWATA, ID",12
"KAIMANA, ID",20
"KOTABARU SETAGEN, ID",123
"KUCHING, MY",216
"LABUAN, MY",221
"MADANG W.O., PP",286
"MUARATEWE BERINGIN, ID",157
"MUTIARA, ID",19
"NABIRE, ID",20
"PALOH, ID",99
"PANGKALPINANG, ID",18
"RAHADI USMAN, ID",29
SAFE,52
"SANDAKAN, MY",220
"SARMI ORAI, ID",33
"SULTAN MAHMUD BADARUDDIN II, ID",42
"SULTAN SYARIF KASIM II, ID",46
"SULTAN THAHA, ID",24
"SUPADIO, ID",25
"SUSILO, ID",22
"SYAMSUDIN NOOR, ID",33
"TANJUNG SELOR, ID",60
"TAWAU, MY",15
"TEMINDUNG, ID",79
"TJILIK RIWUT, ID",45
"TOLI TOLI LALOS, ID",37
"UJANG PANDANG PAOTERE, ID",42
