intercept,model,r.squared,mae,mse-s,mse-u,mean_obs,sd_obs,mean_model,sd_model,d1,n,mse,rmse,mse-s/mse,mse-u/mse,rmse-s,rmse-u,id
11.150687116441691,0.5389415237359126,0.36573120324071484,1.2622192619434809,1.6341959055712747,0.6656088026802105,26.708117235745522,1.1495929368559152,25.488890691663695,1.0916141671913402,0.4262008307914896,6814.0,2.299804708251485,1.5165107016607187,71.05802939301464,28.94197060698537,1.278356720783082,0.8158485169933267,ERA-I Sth America
12.14942939886457,0.47139901011518526,0.41649072672598825,1.5135508490398835,2.6842721868140047,0.8376799143931285,25.61394337297273,1.6405071116630643,24.008080255633324,1.213306963704072,0.47620727158138143,4437.0,3.521952101207133,1.8766864685415976,76.21546544866361,23.78453455133639,1.6383748615057558,0.9152485533411832,ERA-I Africa
9.419948469168466,0.6040135348497391,0.23227011422325422,1.5220555241136275,2.273433858498957,0.7082066240663735,27.518694135709136,0.7647212974339861,26.03326152938037,0.9516949853353055,0.26817766904683216,2496.0,2.9816404825653304,1.7267427378058755,76.24775259768913,23.752247402310886,1.507791052665772,0.8415501316418252,ERA-I SE Asia
9.92860582879061,0.5975679545329007,0.2539451712131059,1.2207601290638572,0.8857362099814436,1.3862125276248882,26.708117235745522,1.1495929368559152,25.85515814887155,1.438081036954321,0.4475957581782095,6814.0,2.2719487376063316,1.5072984898839152,38.98574801976532,61.01425198023469,0.9411355959591815,1.1773752705169616,MERRA2 Sth America
13.989461115504481,0.4139566331928432,0.261341664844621,1.4129695598600756,1.9673974523215254,1.3031757359541782,25.61394337297273,1.6405071116630643,24.46608407822947,1.439664623042224,0.4747787077850659,4437.0,3.2705731882757036,1.8084726119783245,60.154515403422835,39.845484596577165,1.4026394591346436,1.141567227960832,MERRA2 Africa
9.42453118963505,0.6058610412707002,0.25479957748683063,1.4707949980996882,2.111921670704859,0.6304809558911338,27.518694135709136,0.7647212974339861,26.08577495524408,0.9109249320857818,0.27841792991443515,2496.0,2.7424026265959927,1.6560201166036579,77.0099054829991,22.990094517000895,1.4532452204307638,0.7940283092504535,MERRA2 SE Asia
15.037202717647247,0.38058627141956863,0.2023263287581471,1.6374385831543616,2.7755278452491066,0.7545769352022023,26.708117235745522,1.1495929368559152,25.197193678410624,1.0380553791368206,0.3332757720715752,6814.0,3.5301047804513086,1.8788573071021941,78.6245173406515,21.37548265934851,1.6659915501733815,0.8686638793009654,JRA-55 Sth America
16.381271186706954,0.31467239583368856,0.16630454416218618,1.589531146651668,2.6388893298164455,1.3356078262214084,25.61394337297273,1.6405071116630643,24.331007399996516,1.3810649378195619,0.4169623618415975,4437.0,3.974497156037854,1.9936140940607974,66.39555209663641,33.60444790336359,1.6244658598494601,1.155685003026953,JRA-55 Africa
7.884772074800287,0.6541037100039342,0.2971038233094922,1.6632238413201141,2.739379874803404,0.5944669237521188,27.518694135709136,0.7647212974339861,25.861559459992048,0.919695789291798,0.25285726130777975,2496.0,3.333846798555523,1.8258824711781212,82.16873900715271,17.83126099284728,1.6551072094590742,0.7710168115885145,JRA-55 SE Asia
5.1035667522989145,0.756795448898563,0.2775883941104242,1.720367332622561,2.0157344391788588,1.9695402782881468,26.708117235745522,1.1495929368559152,25.304347370496785,1.7238748711691907,0.376748779161065,6814.0,3.9852747174670053,1.9963152850857515,50.57956055937937,49.42043944062065,1.4197656282566002,1.4034031061274401,CFSR Sth America
16.127048881632597,0.3245632003640005,0.13628686739795784,1.6341795601030444,2.6047398310647507,1.7962732875813887,25.61394337297273,1.6405071116630643,24.287193980917685,1.5049822952244412,0.4273683216110141,4437.0,4.401013118646139,2.097859175122615,59.18500492600289,40.814995073997125,1.613920639642715,1.340251203163567,CFSR Africa
6.781675117656442,0.681394875614848,0.2554071492024037,2.0128838148078834,4.003224271936062,0.7949413149994844,27.518694135709136,0.7647212974339861,25.511025275500256,1.033607611971559,0.22111965475851092,2496.0,4.798165586935546,2.1904715444249776,83.43239097116714,16.56760902883285,2.000805905613051,0.8915948154848616,CFSR SE Asia
12.038831887626564,0.5056985832294594,0.3254505540161854,1.2903729377488735,1.6754902958122435,0.700384750979544,26.708117235745522,1.1495929368559152,25.51374750631529,1.0874372027424166,0.41792004341046474,6814.0,2.3758750467917875,1.5413873772649715,70.52097702169591,29.479022978304087,1.2944073144927155,0.8368899276365703,Ensemble Sth America
14.173387233692035,0.40000934638057206,0.3317328073289205,1.4324129434788024,2.3960085705009235,0.8672820104999391,25.61394337297273,1.6405071116630643,24.268390577953102,1.21015566704831,0.4703491321097715,4437.0,3.2632905810008626,1.806458020824415,73.42308357247363,26.576916427526378,1.5479045740939341,0.9312797702623735,Ensemble Africa
8.909750577868042,0.6213260953747877,0.30575707340675284,1.5396450709595362,2.3665232784329997,0.5147847456128077,27.518694135709136,0.7647212974339861,25.993531981538833,0.8553618962123591,0.2670341059659602,2496.0,2.8813080240458073,1.697441611380435,82.13364411868852,17.86635588131148,1.5383508307382292,0.7174850142078284,Ensemble SE Asia
